<text>
MovieId	Rating	Average	ImdbId	Title
318	3.5	4.5	0111161	Shawshank Redemption, The (1994)
7502	3.0	4.3	0185906	Band of Brothers (HBO) (2001)
50	3.0	4.3	0114814	Usual Suspects, The (1995)
527	3.0	4.3	0108052	Schindler's List (1993)
2019	3.0	4.3	0047478	Seven Samurai (Shichinin no samurai) (1954)
922	3.0	4.3	0043014	Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
6016	3.0	4.3	0317248	City of God (Cidade de Deus) (2002)
58559	3.0	4.3	0468569	Dark Knight, The (2008)
750	3.0	4.3	0057012	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
44555	3.0	4.3	0405094	Lives of Others, The (Das leben der Anderen) (2006)
1212	3.0	4.3	0041959	Third Man, The (1949)
3435	3.0	4.3	0036775	Double Indemnity (1944)
908	3.0	4.2	0053125	North by Northwest (1959)
1178	3.0	4.2	0050825	Paths of Glory (1957)
1203	3.0	4.2	0050083	12 Angry Men (1957)
4973	3.0	4.2	0211915	Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)
2959	3.0	4.2	0137523	Fight Club (1999)
3030	3.0	4.2	0055630	Yojimbo (1961)
77658	3.0	4.2	0081846	Cosmos (1980)
1260	3.0	4.2	0022100	M (1931)
1148	3.0	4.2	0108598	Wallace &amp; Gromit: The Wrong Trousers (1993)
926	3.0	4.2	0042192	All About Eve (1950)
1284	3.0	4.2	0038355	Big Sleep, The (1946)
92259	3.0	4.2	1675434	Intouchables (2011)
5618	3.0	4.2	0245429	Spirited Away (Sen to Chihiro no kamikakushi) (2001)
745	3.0	4.2	0112691	Wallace &amp; Gromit: A Close Shave (1995)
3307	3.0	4.2	0021749	City Lights (1931)
79132	3.0	4.2	1375666	Inception (2010)
2571	3.0	4.2	0133093	Matrix, The (1999)
4226	3.0	4.2	0209144	Memento (2000)
930	3.0	4.2	0038787	Notorious (1946)
5291	3.0	4.2	0042876	Rashomon (Rashômon) (1950)
260	3.0	4.2	0076759	Star Wars: Episode IV - A New Hope (1977)
950	3.0	4.2	0025878	Thin Man, The (1934)
1248	3.0	4.2	0052311	Touch of Evil (1958)
1213	3.0	4.2	0099685	Goodfellas (1990)
905	3.0	4.2	0025316	It Happened One Night (1934)
2324	3.0	4.2	0118799	Life Is Beautiful (La Vita è bella) (1997)
1136	3.0	4.2	0071853	Monty Python and the Holy Grail (1975)
1217	3.0	4.2	0089881	Ran (1985)
593	3.0	4.2	0102926	Silence of the Lambs, The (1991)
1196	3.0	4.2	0080684	Star Wars: Episode V - The Empire Strikes Back (1980)
277	3.0	3.4	0110527	Miracle on 34th Street (1994)
2724	3.0	2.9	0163187	Runaway Bride (1999)
2641	3.0	3.1	0081573	Superman II (1980)
2858	3.0	4.2	0169547	American Beauty (1999)
3022	3.0	4.2	0017925	General, The (1926)
1197	3.0	4.2	0093779	Princess Bride, The (1987)
5008	3.0	4.2	0051201	Witness for the Prosecution (1957)
3089	3.0	4.2	0040522	Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948)
3134	3.0	4.2	0028950	Grand Illusion (La grande illusion) (1937)
951	3.0	4.2	0032599	His Girl Friday (1940)
1131	3.0	4.2	0091288	Jean de Florette (1986)
