@relation movie-runtime

@attribute rating numeric
@attribute runtime numeric

@data
8.8,207
8.6,110
8.7,106
8.9,195
9.3,142
8.5,137
8.4,110
8.9,139
8.5,107
8.4,104
8.6,136
8.6,95
8.5,88
8.5,122
8.5,117
8.5,30
8.4,138
8.6,87
9,152
8.6,112
8.2,114
8.3,30
8.8,148
8.7,136
8.6,125
8.2,101
8.4,88
8.6,113
8,91
8.8,121
8.8,146
8.2,105
8.5,116
8.3,162
8.3,95
6.1,114
8.4,91
5.2,116
6.7,127
8.1,98
8.5,122
8.7,118
8.8,124
8.4,116
8.4,93
8.6,87
8,108
8.4,126
8.2,101
8.3,100
8,92
8.6,119
8.1,114
8.2,86
8.1,125
8.1,122
8.5,216
8,112
8.2,99
9,154
8.5,155
8.9,201
8.5,128
8.2,163
8.3,143
8.3,117
8,94
8.2,110
8.2,172
8.8,178
8.1,126
7.7,137
8.1,103
7.9,113
8.5,149
8.4,108
8.2,98
9,161
8.1,96
8.3,96
8.5,113
8.1,97
8.3,130
8.6,153
8.2,88
8.1,117
7.8,88
8.5,151
8.7,179
8.3,91
8.4,89
8.1,85
8.2,85
8.1,96
8.1,118
8.4,120
8.3,131
8.2,144
8.4,134
8.4,138
8.2,122
8.4,129
8.1,96
8.4,99
8,113
8.3,143
8,109
8.2,106
7.6,135
7.8,135
8.2,93
7.9,141
8.6,106
8.6,169
8.2,107
8.2,93
8.1,102
8.4,160
8.1,119
8.1,124
8.5,125
8.1,134
8.1,94
7.6,107
8.4,120
8.2,118
8.2,121
7.9,180
8.5,150
8,106
8.4,177
7.8,135
7.8,123
8,96
8.2,105
8.5,102
7.9,142
8.4,103
8.2,121
8.2,110
7.7,101
7.5,107
8.3,118
8.1,131
8.3,96
8.5,98
7.6,111
8.1,138
7.8,113
8.2,366
7.8,23
7.8,114
8.5,133
7.9,129
8.6,110
8,96
8.1,84
8.1,108
8.2,129
8.7,127
8,94
8.4,102
8.4,125
8,138
8,118
8,100
7.9,107
8.5,103
8.5,117
7.7,99
8.4,143
7.6,101
7.9,94
7.6,124
8,94
8.7,142
7.8,107
8.4,116
8.2,113
8.1,185
8,110
7.8,81
8.2,126
8.3,104
8.2,136
8,128
8,82
8,104
8.2,105
8,132
7.8,101
7.1,123
8.3,156
8.1,104
8.1,154
8.1,170
7.9,100
8.2,98
8,117
8,115
8.3,153
7.6,101
7.9,110
8.1,89
8.1,103
8.5,130
8,88
7.2,107
7.2,102
8.2,136
8.3,114
8.3,116
8,127
7.6,105
8.1,130
8.1,98
8.2,120
8.8,165
7.8,116
8,97
7.9,118
8.2,96
8,99
8.1,163
7.9,86
7.9,90
8.2,94
8.5,137
8.2,89
8.3,127
8.2,129
8.2,92
8.1,130
8.3,28
8.4,129
7.9,102
8,119
7.8,108
8,135
7.9,102
7.7,112
8.5,142
8.2,114
8.1,145
8.1,127
7.5,90
8.2,120
8.5,136
7.8,130
7.6,88
8,118
8.2,148
8.4,153
7.9,119
8.2,122
8,93
8.1,89
8,112
8.1,270
8.1,120
8,90
7.8,97
7.8,99
7.6,102
8.1,98
8.1,125
8.1,130
7.9,128
7.6,112
8,91
7.3,102
8.5,189
8.1,101
8.1,106
7.8,105
8,113
7.8,117
7.6,108
8.2,107
7.5,109
8.3,140
8,130
8,94
8.2,182
8.4,134
8.1,115
8.1,174
8.1,115
8.1,191
7.9,112
7.8,97
7.6,68
8.1,163
7.7,85
7.9,80
7.9,89
7.9,98
8.2,94
7.9,85
8.1,100
7.7,136
7.5,117
8.3,89
8,127
7.9,98
8.3,131
8.4,123
8,81
7.7,102
7.8,133
7.7,101
8,102
7.3,105
8,106
7.8,108
8,91
8,115
7.9,121
8,139
7.9,117
8,94
7.6,94
8.1,123
7.9,155
8,125
8,151
7.4,111
8.3,86
8.1,138
8,115
7.3,100
8.5,123
7.9,107
8,96
8.5,155
7.8,103
8.2,140
8,108
8.1,188
7.8,112
7.5,111
8,115
7.8,118
7.9,122
7.8,95
8.1,99
8.3,186
7.9,111
7.9,100
8.4,141
8.1,133
7.6,92
8,89
7.8,89
8.1,170
7.8,108
7.5,106
7.9,95
7.6,98
7.6,122
8,102
8,158
8.1,112
8,112
8,197
7.9,103
7.8,81
7.6,95
7.8,114
8.2,99
8.1,83
7.4,84
7.8,94
8.2,122
7.9,143
7.9,91
8,112
8.3,117
8.1,108
7.7,112
8.1,145
6,101
7.4,123
8,146
8.3,131
7.8,103
8.3,170
8,99
7.5,99
8.2,111
7.8,96
7.4,105
7.7,124
7.9,95
8.1,140
7.3,113
8.4,229
8.1,95
7.8,87
8,134
7.8,128
7.9,158
7.9,101
7.7,106
7.9,135
7.8,141
7.9,129
8.3,251
7.4,117
7.6,103
7.6,150
7.9,111
7.9,90
7.9,126
8.6,137
8.1,128
8,80
7.3,72
8.1,96
7.4,100
8.1,158
8.1,124
8,115
7.9,110
7.7,110
7.8,105
8.1,115
7.9,99
7.7,91
8.4,92
7.1,102
7.4,109
7.1,105
7.8,105
7.7,90
7.9,126
8.1,132
7.8,94
7.8,77
8,141
8.1,80
8.3,90
7.6,111
8.4,6
8.2,90
8,80
8.3,81
8.2,132
8.3,170
7.9,98
7.1,115
7.3,113
7.9,124
7.7,97
8.1,145
7.6,106
8,148
7.8,143
8.1,135
7.5,98
7.5,107
7.9,103
8.1,95
7.9,157
7.7,121
7.9,103
7.7,159
7.8,126
8.2,120
8,115
7.6,126
8,133
8.2,70
7.8,122
8.2,96
8.2,133
7.4,117
8.1,94
7.9,92
8.1,94
8,109
8.5,116
8.3,124
7.7,121
8.1,133
8.2,115
7.2,44
8,96
7.6,96
7.6,119
8.2,111
7.7,143
8.1,75
8,105
7.8,124
8,143
7.1,110
7.6,133
8,94
7.6,141
7.8,106
7.8,133
7.6,130
8,111
7.9,120
7.8,178
7.6,121
7.8,110
7.7,117
7.4,110
7.7,105
8.2,75
7.8,105
7.6,136
7.8,112
7.6,91
7.7,104
8,155
7.8,100
7.9,134
7.5,112
8.1,100
7.9,89
7.3,88
7.7,85
7.7,128
7.9,119
8.1,112
8,107
8.1,100
7.6,94
7.7,121
7.2,93
7.7,129
7.5,91
7.3,131
7.9,94
8,138
7.9,70
8.4,132
7.9,120
8.1,107
7.8,110
7.5,90
6.8,125
7.5,140
7.8,132
7.8,95
7.8,117
7.9,144
7.2,103
7.6,129
7.8,124
7.8,98
7.7,126
7.8,171
7.9,128
7.8,181
7.9,128
7.7,127
7.9,110
7.7,88
7.9,116
7.8,152
7.5,103
7.9,90
7.7,114
7.4,94
7.8,100
7.7,80
7.6,93
8,102
7.4,106
7.8,118
7.8,103
7.2,109
7.4,105
7.6,98
7.8,117
